gradient1	gradient2	groups
1	4053	1156	1
2	1968	178	4
3	2432	1158	2
4	3687	129	1
5	3135	481	2
6	1122	722	4
7	672	1345	3
8	200	1323	3
9	4955	413	1
10	820	138	3
11	2412	1372	2
12	1317	1258	4
13	3018	1872	2
14	862	1463	3
15	194	1362	3
16	4925	1625	1
17	2504	1211	2
18	4110	768	1
19	1142	445	4
20	3029	1037	2
21	1635	894	4
22	4879	1398	1
23	4623	118	1
24	1133	187	4
25	2122	461	4
26	3762	1898	1
27	3672	1235	1
28	1694	269	4
29	2792	1386	2
30	247	591	3
31	3162	1720	2
32	1074	173	4
33	2099	1596	4
34	4814	930	1
35	2894	1471	2
36	620	561	3
37	1926	1558	4
38	4170	1465	1
39	4786	888	1
40	492	1801	3
41	4309	1222	1
42	4318	77	1
43	2269	1565	2
44	1162	131	4
45	138	654	3
46	3966	726	1
47	2763	149	2
48	4697	463	1
49	4975	1760	1
50	3844	405	1
51	2245	201	2
52	4043	1015	1
53	3470	1200	1
54	302	201	3
55	1761	289	4
56	1827	376	4
57	3186	997	2
58	416	1468	3
59	3923	355	1
60	1307	990	4
61	3346	536	1
62	823	1087	3
63	2412	306	2
64	1939	1499	4
65	2932	1159	2
66	1232	1704	3
67	2168	535	4
68	3635	1207	1
69	1561	1777	4
70	1823	534	4
71	3386	781	1
72	3165	599	2
73	2090	1400	4
74	3315	2	1
75	4236	1110	1
76	4082	1063	1
77	2124	469	4
78	4970	1558	1
79	1647	566	4
80	4833	1721	1
81	3081	189	2
82	1794	1001	4
83	1727	1221	4
84	787	1345	3
85	1845	1835	4
86	2880	60	2
87	1386	1286	4
88	4574	78	1
89	1620	54	4
90	916	1574	3
91	2566	766	2
92	1775	1522	4
93	4311	590	1
94	4566	559	1
95	3553	1589	1
96	4054	1775	1
97	971	209	3
98	2753	420	2
99	2053	481	4
100	3113	1460	2
101	1336	700	4
102	175	1969	3
103	4935	442	1
104	1155	1712	3
105	3519	823	1
106	747	1037	3
107	610	1243	3
108	103	1767	3
109	841	806	3
110	260	16	3
111	2209	455	2
112	1570	759	4
113	3559	1778	1
114	369	527	3
115	2218	966	2
116	1341	102	4
117	613	1538	3
118	17	1941	3
119	4192	756	1
120	1164	1854	3
121	4526	758	1
122	970	1984	3
123	3935	341	1
124	1620	984	4
125	176	196	3
126	2852	1228	2
127	2810	1212	2
128	2375	81	2
129	4506	1976	1
130	1729	1355	4
131	4040	1314	1
132	1906	819	4
133	2736	474	2
134	2328	468	2
135	2673	1237	2
136	1550	1122	4
137	2836	125	2
138	3526	1008	1
139	4659	954	1
140	2040	929	4
141	307	1483	3
142	3121	401	2
143	4694	1692	1
144	2624	98	2
145	2086	1107	4
146	188	1652	3
147	520	91	3
148	4103	1989	1
149	420	96	3
150	1653	1830	4
151	656	1026	3
152	3731	240	1
153	197	428	3
154	4555	691	1
155	990	901	3
156	2000	834	4
157	1683	1236	4
158	1450	1266	4
159	521	1474	3
160	2504	1365	2
161	4588	945	1
162	1188	609	3
163	4623	657	1
164	4133	1058	1
165	635	21	3
166	2792	1118	2
167	2367	1935	2
168	2991	1082	2
169	1692	1731	4
170	1385	26	4
171	4622	1644	1
172	876	1739	3
173	4645	735	1
174	2399	825	2
175	4678	1888	1
176	1445	1661	4
177	1024	1589	3
178	4119	1386	1
179	1978	397	4
180	1311	1369	4
181	530	1608	3
182	1580	631	4
183	3251	1427	1
184	4230	17	1
185	244	1355	3
186	287	1238	3
187	3095	798	2
188	1517	1465	4
189	3860	1120	1
190	2324	584	2
191	4366	1633	1
192	948	1718	3
193	1257	416	4
194	2177	1141	4
195	1660	877	4
196	2436	1057	2
197	1045	364	3
198	1277	1868	3
199	3357	1224	1
200	2320	739	2
201	4155	793	1
202	2820	1217	2
203	329	659	3
204	3104	149	2
205	3441	1413	1
206	4789	1378	1
207	609	764	3
208	3735	1159	1
209	3560	99	1
210	4164	1741	1
211	1378	1053	4
212	464	686	3
213	4543	1325	1
214	4567	301	1
215	1836	34	4
216	785	1192	3
217	2776	1207	2
218	2148	431	4
219	1189	963	4
220	3010	1951	2
221	4089	1294	1
222	180	410	3
223	5	1963	3
224	4174	676	1
225	131	1304	3
226	2652	588	2
227	1918	398	4
228	20	498	3
229	3217	693	2
230	3751	639	1
231	3621	760	1
232	4544	381	1
233	1672	189	4
234	4539	425	1
235	66	1492	3
236	3398	1465	1
237	4476	974	1
238	1154	1915	3
239	1539	1142	4
240	532	1500	3
241	3846	1666	1
242	4355	425	1
243	4733	512	1
244	932	1544	3
245	3766	1165	1
246	1836	1344	4
247	3637	1901	1
248	2883	617	2
249	358	1185	3
250	4836	1015	1
251	4853	416	1
252	1549	1146	4
253	2101	227	4
254	1387	1529	3
255	276	1188	3
256	2788	1236	2
257	2930	432	2
258	1465	956	4
259	2662	1400	2
260	4670	853	1
261	189	1051	3
262	771	1554	3
263	839	1524	3
264	1070	987	3
265	4428	1258	1
266	3245	381	2
267	3529	1459	1
268	4197	1739	1
269	1424	688	4
270	3781	318	1
271	2956	710	2
272	1737	1958	4
273	2522	1131	2
274	3877	925	1
275	4476	707	1
276	3844	918	1
277	1067	210	3
278	4535	1713	1
279	3332	153	2
280	2807	690	2
281	2597	593	2
282	35	826	3
283	2876	1865	2
284	3553	846	1
285	953	1711	3
286	2214	856	2
287	3162	260	2
288	4563	1692	1
289	1811	406	4
290	4164	191	1
291	3472	1240	1
292	3002	612	2
293	567	1095	3
294	2866	93	2
295	3278	5	2
296	4992	879	1
297	574	1480	3
298	1376	1035	4
299	858	1165	3
300	381	1716	3
301	3312	715	1
302	4888	1217	1
303	1702	1023	4
304	1948	1436	4
305	3564	680	1
306	1208	678	3
307	2579	434	2
308	4801	1572	1
309	1813	887	4
310	863	1671	3
311	285	1945	3
312	800	1176	3
313	4029	657	1
314	3903	295	1
315	1948	205	4
316	3155	1529	2
317	483	430	3
318	1562	862	4
319	1605	1049	4
320	876	244	3
321	914	717	3
322	186	818	3
323	3082	1573	2
324	467	1451	3
325	1022	1823	3
326	1263	1525	3
327	3763	287	1
328	3406	1435	1
329	4359	382	1
330	4255	1375	1
331	3039	541	2
332	826	1973	3
333	818	399	3
334	994	922	3
335	3406	109	1
336	1005	1267	3
337	3164	69	2
338	3507	1292	1
339	2653	1428	2
340	16	1328	3
341	4483	1118	1
342	3931	1225	1
343	2790	161	2
344	1885	712	4
345	235	1237	3
346	591	673	3
347	1007	696	3
348	2562	374	2
349	4888	1118	1
350	2006	1803	4
351	3265	671	2
352	366	635	3
353	2983	900	2
354	3418	494	1
355	2954	1308	2
356	3789	112	1
357	1825	324	4
358	3978	1021	1
359	4525	1354	1
360	2542	74	2
361	1334	1562	3
362	4305	763	1
363	1404	1326	4
364	2776	13	2
365	1812	1912	4
366	3896	803	1
367	3401	246	2
368	2427	1514	2
369	1244	492	4
370	766	1796	3
371	3592	881	1
372	2692	1458	2
373	4834	1674	1
374	4319	856	1
375	3083	584	2
376	3407	1617	1
377	3240	1714	1
378	1224	1164	4
379	399	413	3
380	1621	1066	4
381	3463	35	2
382	3554	1572	1
383	4628	1727	1
384	2655	1419	2
385	4502	1599	1
386	4244	1609	1
387	3747	621	1
388	3593	1775	1
389	3760	1427	1
390	778	1492	3
391	1061	75	4
392	3133	239	2
393	3671	949	1
394	3926	690	1
395	2490	1835	2
396	849	1569	3
397	3391	531	1
398	159	589	3
399	3982	1313	1
400	770	181	4
401	381	1719	3
402	2061	1624	4
403	4905	205	1
404	1107	1294	3
405	1326	1351	4
406	2655	1389	2
407	465	232	3
408	3420	1008	1
409	955	1655	3
410	3987	655	1
411	2659	1062	2
412	3963	1992	1
413	2539	325	2
414	2758	500	2
415	2225	763	2
416	3002	810	2
417	802	624	3
418	3071	1736	2
419	400	735	3
420	1454	126	4
421	2424	1420	2
422	905	879	3
423	2178	1621	2
424	1707	715	4
425	721	1708	3
426	3994	1905	1
427	1659	1096	4
428	2078	1677	4
429	3163	1438	2
430	3067	69	2
431	3947	1825	1
432	4032	524	1
433	1174	1333	3
434	2713	1422	2
435	2349	1996	2
436	2487	1445	2
437	471	1574	3
438	4548	211	1
439	4527	224	1
440	3150	852	2
441	3539	1349	1
442	296	1761	3
443	329	934	3
444	3085	1731	2
445	4661	1298	1
446	2604	1122	2
447	810	247	3
448	4148	305	1
449	4294	1323	1
450	1165	1589	3
451	1326	264	4
452	154	984	3
453	712	424	3
454	3500	1312	1
455	3382	1613	1
456	2076	810	4
457	3630	1983	1
458	1822	469	4
459	3358	789	1
460	1315	1759	3
461	3527	1561	1
462	56	1525	3
463	4811	1154	1
464	4543	1194	1
465	1784	463	4
466	3196	1954	1
467	2739	850	2
468	4709	314	1
469	2838	1735	2
470	4755	494	1
471	1422	1739	4
472	4611	412	1
473	431	197	3
474	3542	872	1
475	1612	973	4
476	2455	1569	2
477	329	1560	3
478	4907	1112	1
479	1111	1662	3
480	57	1306	3
481	1484	898	4
482	3613	1078	1
483	1061	490	3
484	4233	765	1
485	4409	816	1
486	4404	1952	1
487	431	736	3
488	1207	383	4
489	4357	667	1
490	2603	1586	2
491	3915	1479	1
492	507	1589	3
493	4257	1916	1
494	3932	658	1
495	4945	1195	1
496	4585	361	1
497	4450	1907	1
498	1916	666	4
499	1719	1063	4
500	123	1075	3
