	optimum1	niche.width1	optimum2	niche.width2
spec_1	3388	1832	2842	1571
spec_2	4657	3330	4204	2259
spec_3	113	2080	4828	2546
spec_4	3672	2772	3728	1067
spec_5	71	2300	2177	3984
spec_6	889	274	4051	1981
spec_7	2491	2018	3896	1010
spec_8	1999	2485	1094	2271
spec_9	2447	1580	1925	3948
spec_11	3518	3413	928	586
spec_12	1177	3380	4575	1319
spec_14	94	335	3008	1776
spec_15	4451	2816	1561	3445
spec_16	462	643	1401	1068
spec_17	746	1664	3932	3206
spec_18	1637	3651	4236	1184
spec_19	1163	344	947	2502
spec_20	3402	1529	3517	3454
spec_21	4120	569	1793	2319
spec_22	1088	2395	2232	2327
spec_23	3103	4287	1144	1754
spec_24	195	1803	4816	1312
spec_25	4598	3982	4172	1796
spec_26	451	1176	2301	2931
spec_27	2661	3251	1783	1102
spec_28	2475	2266	4429	2800
spec_29	1268	4065	4463	464
spec_30	275	626	2651	2649
spec_31	1012	104	2459	1006
spec_32	1633	3488	4541	268
spec_33	4048	1783	1557	2362
spec_34	3642	613	35	1028
spec_35	2419	596	2599	2898
spec_36	606	3278	4309	1690
spec_37	4049	181	4489	1509
spec_38	3773	3432	4130	2654
spec_39	3107	1074	3144	311
spec_40	1408	1371	4030	1791
spec_41	2943	3247	3038	1473
spec_42	655	1961	3334	2454
spec_43	1922	2216	3531	1781
spec_44	3227	2253	2701	727
spec_45	1950	1810	504	1266
spec_46	4574	616	4744	1717
spec_47	1072	2901	2371	2712
spec_48	1092	2547	702	2101
spec_50	4807	1941	3219	968
spec_51	4146	2347	3929	3829
spec_52	3006	189	744	2299
spec_53	714	3745	243	225
spec_54	1154	668	1581	1671
spec_55	4048	1424	3303	892
spec_56	2111	1372	910	2580
spec_58	3761	2850	1803	25
spec_59	3881	2467	4710	2509
spec_60	727	898	2884	2508
spec_61	1761	1399	568	2369
spec_62	799	1474	2122	2415
spec_63	4735	2289	1125	2612
spec_64	2776	1589	3415	3251
spec_65	3481	1546	1289	1826
spec_66	707	642	28	885
spec_67	118	1981	2986	4213
spec_68	4893	583	1422	1622
spec_69	972	2258	1405	1725
spec_70	307	3096	2202	1818
spec_71	3129	3027	3785	2504
spec_72	4008	2697	2146	1568
spec_73	4036	3138	3289	3219
spec_74	3011	1754	268	598
spec_75	2993	2360	2424	1073
spec_76	2091	4181	1079	2633
spec_77	1416	1215	551	2828
spec_78	3925	1413	1597	2576
spec_80	2477	2984	1112	1619
spec_81	872	1973	2838	2262
spec_82	1176	2189	810	2983
spec_83	2229	3582	526	1250
spec_84	3284	3893	337	2760
spec_85	2539	1341	617	2049
spec_86	2014	179	3589	3499
spec_87	1675	3364	3390	3943
spec_88	133	2766	784	780
spec_89	185	2346	1117	664
spec_90	1951	2503	3366	3281
spec_91	1929	3855	1378	1626
spec_92	1831	1071	3155	4027
spec_93	4346	2704	962	2979
spec_94	4721	3615	2062	3848
spec_95	2609	3885	4350	787
spec_96	3478	2641	1028	1404
spec_99	1682	3196	975	3565
spec_100	4649	4215	2544	1097
spec_102	2723	1727	4975	2144
spec_103	2338	1025	3770	3343
spec_104	1114	4529	2719	444
spec_105	357	1445	781	1188
spec_107	1663	1194	4606	614
spec_108	2421	1877	2222	2591
spec_109	4984	3795	1569	2076
spec_110	2910	2785	3075	3641
spec_111	3078	2419	3639	1644
spec_112	4383	240	2504	3122
spec_113	676	2666	4781	1544
spec_114	1363	3820	2044	4256
spec_115	1863	1981	4880	259
spec_116	3303	2668	552	2695
spec_117	89	2701	2310	524
spec_119	922	1148	372	1393
spec_120	4681	252	3092	2590
spec_121	2999	2224	3667	350
spec_122	853	2730	1280	1773
spec_123	3124	2646	3685	1921
spec_124	1037	2925	1978	1431
spec_125	3643	4234	2394	98
spec_126	976	1568	3464	186
spec_127	3519	2370	4018	513
spec_128	4546	1563	4456	551
spec_129	1188	2533	4025	1212
spec_130	268	1752	4935	2421
spec_131	2511	3250	2804	371
spec_132	1442	3631	659	963
spec_133	3590	1845	4060	689
spec_134	1461	3422	2858	3611
spec_135	1365	469	16	927
spec_136	199	820	1196	2116
spec_137	1718	1881	3474	1645
spec_138	3569	3326	4095	2253
spec_139	2327	3642	1223	1364
spec_140	2611	1736	1268	726
spec_141	3177	1232	1320	2410
spec_142	4012	1241	879	1602
spec_143	3877	895	4185	1558
spec_144	663	2463	2662	3116
spec_145	1311	4939	4144	4684
spec_146	3036	2138	2225	1687
spec_147	1355	132	3582	3079
spec_148	3176	4792	2461	4515
spec_149	3723	1728	4685	1822
spec_150	169	188	593	417
spec_151	3032	4418	2457	3931
spec_152	4772	4184	3264	466
spec_153	2259	3149	3926	3056
spec_154	2144	2183	4363	2587
spec_155	196	345	4683	1670
spec_156	354	1903	569	3482
spec_157	4306	2586	1315	571
spec_159	3887	970	1710	2242
spec_160	4024	1355	870	2714
spec_161	3798	2205	2337	3875
spec_163	4193	1515	3430	1913
spec_164	4743	562	471	427
spec_165	4844	1967	3019	929
spec_166	432	2597	1812	2661
spec_167	4316	4061	3338	1838
spec_168	584	2012	2473	3834
spec_169	1738	833	2255	3892
spec_170	3346	2021	3155	2442
spec_171	4614	1437	316	845
spec_172	4615	603	2317	1317
spec_173	2384	4212	867	1105
spec_174	3698	2280	41	147
spec_175	730	2776	3565	3846
spec_176	1899	1942	2281	3852
spec_177	3348	4008	4181	602
spec_179	2030	111	2294	391
spec_180	4912	1740	3923	2001
spec_181	990	1973	3411	3159
spec_182	4977	1154	1169	2611
spec_183	162	1250	1403	2501
spec_184	4206	2254	160	123
spec_185	3178	1926	4649	1426
spec_186	448	1318	1988	3121
spec_187	2843	2663	4745	2029
spec_188	3349	2213	4464	1903
spec_189	1622	3625	64	899
spec_190	3620	2490	1358	2322
spec_191	937	3050	813	2550
spec_192	2931	2482	2424	4258
spec_193	2779	3520	2157	3777
spec_194	1294	2472	1969	4472
spec_195	4116	2195	4322	1933
spec_196	4817	2567	4100	1108
spec_198	4295	1409	4235	1769
spec_199	4267	3423	2506	1797
spec_200	4378	2129	585	663
spec_201	4921	1760	1971	2156
spec_202	2022	3388	957	593
spec_203	3751	1848	4047	431
spec_204	4420	1037	3061	1120
spec_205	303	983	2534	1094
spec_206	4758	722	651	1781
spec_207	2237	1989	4169	139
spec_208	970	1244	4511	275
spec_209	2471	3644	3368	2152
spec_210	202	3458	39	1061
spec_211	4609	1015	2748	2244
spec_212	3116	1782	2637	2918
spec_213	1006	412	5	605
spec_214	4274	3387	757	2169
spec_215	2866	907	672	1626
spec_216	1602	2250	3525	2754
spec_217	1593	3427	1082	1584
spec_218	3896	1725	1494	3010
spec_219	680	2281	2172	2655
spec_220	3459	4110	3887	1870
spec_221	2211	3369	3903	2013
spec_223	3459	3207	2819	3638
spec_224	3288	736	741	4124
spec_225	2167	3254	3434	2136
spec_226	2162	699	4452	1384
spec_227	3858	2657	1366	3086
spec_229	1124	1919	1395	1236
spec_230	518	1942	3492	979
spec_231	3869	1750	2105	3143
spec_232	1182	158	2684	3734
spec_233	4	2659	4645	740
spec_235	2952	3163	288	1060
spec_236	3378	2927	3067	808
spec_237	3656	2371	176	226
spec_238	1846	2111	4053	384
spec_239	1833	588	882	2951
spec_240	2282	874	1180	2697
spec_241	4512	1967	3196	716
spec_242	338	442	1205	2900
spec_243	1921	334	1735	1169
spec_244	215	2893	2231	1203
spec_245	1378	3943	4355	1689
spec_246	3592	3794	579	631
spec_247	4988	1857	768	1246
spec_248	851	3131	2360	3631
spec_249	1985	3736	595	3179
spec_250	1275	2276	3360	3365
spec_251	1103	1902	1038	750
spec_252	3814	1462	2593	2465
spec_253	3381	1955	2161	2334
spec_254	4179	1071	1975	3242
spec_255	1138	3632	1077	2517
spec_256	617	2494	3594	2202
spec_257	2107	743	1249	1829
spec_258	169	2294	4773	961
spec_260	484	1199	1357	801
spec_261	3916	3279	1818	2936
spec_262	4841	474	988	839
spec_263	242	1344	2257	2983
spec_264	2343	4600	3082	4248
spec_266	4336	876	2644	1368
spec_267	4411	3221	3403	2282
spec_268	2263	3801	4975	1074
spec_269	4408	1925	274	326
spec_270	3123	1328	1504	1412
spec_271	2805	3705	3736	3320
spec_272	2824	3549	1241	1844
spec_273	2431	810	4475	1348
spec_274	3887	369	4052	1550
spec_275	1656	1975	3752	2250
spec_277	731	4243	4448	289
spec_278	1895	2837	356	1126
spec_279	42	2222	1472	2841
spec_280	91	1824	2099	529
spec_281	2569	4093	1048	1766
spec_282	1687	3098	2708	1207
spec_283	4808	129	1211	1204
spec_284	1066	3790	4646	788
spec_285	131	1814	1391	3876
spec_286	1203	1789	957	1322
spec_287	1741	372	4318	1632
spec_288	1780	2768	1391	534
spec_289	2864	1124	4348	1932
spec_290	3501	2353	1982	4241
spec_291	912	3417	4118	3584
spec_292	809	800	534	2035
spec_293	913	933	3164	1714
spec_294	4279	2049	381	1779
spec_295	1799	2251	2193	2459
spec_296	1261	3225	3409	3688
spec_297	3443	2262	1950	3223
spec_298	2832	2541	1842	2165
spec_299	3282	1772	3526	692
