"";"gradient1";"gradient2"
"1";4053;1156
"2";1968;178
"3";2432;1158
"4";3687;129
"5";3135;481
"6";1122;722
"7";672;1345
"8";200;1323
"9";4955;413
"10";820;138
"11";2412;1372
"12";1317;1258
"13";3018;1872
"14";862;1463
"15";194;1362
"16";4925;1625
"17";2504;1211
"18";4110;768
"19";1142;445
"20";3029;1037
"21";1635;894
"22";4879;1398
"23";4623;118
"24";1133;187
"25";2122;461
"26";3762;1898
"27";3672;1235
"28";1694;269
"29";2792;1386
"30";247;591
"31";3162;1720
"32";1074;173
"33";2099;1596
"34";4814;930
"35";2894;1471
"36";620;561
"37";1926;1558
"38";4170;1465
"39";4786;888
"40";492;1801
"41";4309;1222
"42";4318;77
"43";2269;1565
"44";1162;131
"45";138;654
"46";3966;726
"47";2763;149
"48";4697;463
"49";4975;1760
"50";3844;405
"51";2245;201
"52";4043;1015
"53";3470;1200
"54";302;201
"55";1761;289
"56";1827;376
"57";3186;997
"58";416;1468
"59";3923;355
"60";1307;990
"61";3346;536
"62";823;1087
"63";2412;306
"64";1939;1499
"65";2932;1159
"66";1232;1704
"67";2168;535
"68";3635;1207
"69";1561;1777
"70";1823;534
"71";3386;781
"72";3165;599
"73";2090;1400
"74";3315;2
"75";4236;1110
"76";4082;1063
"77";2124;469
"78";4970;1558
"79";1647;566
"80";4833;1721
"81";3081;189
"82";1794;1001
"83";1727;1221
"84";787;1345
"85";1845;1835
"86";2880;60
"87";1386;1286
"88";4574;78
"89";1620;54
"90";916;1574
"91";2566;766
"92";1775;1522
"93";4311;590
"94";4566;559
"95";3553;1589
"96";4054;1775
"97";971;209
"98";2753;420
"99";2053;481
"100";3113;1460
"101";1336;700
"102";175;1969
"103";4935;442
"104";1155;1712
"105";3519;823
"106";747;1037
"107";610;1243
"108";103;1767
"109";841;806
"110";260;16
"111";2209;455
"112";1570;759
"113";3559;1778
"114";369;527
"115";2218;966
"116";1341;102
"117";613;1538
"118";17;1941
"119";4192;756
"120";1164;1854
"121";4526;758
"122";970;1984
"123";3935;341
"124";1620;984
"125";176;196
"126";2852;1228
"127";2810;1212
"128";2375;81
"129";4506;1976
"130";1729;1355
"131";4040;1314
"132";1906;819
"133";2736;474
"134";2328;468
"135";2673;1237
"136";1550;1122
"137";2836;125
"138";3526;1008
"139";4659;954
"140";2040;929
"141";307;1483
"142";3121;401
"143";4694;1692
"144";2624;98
"145";2086;1107
"146";188;1652
"147";520;91
"148";4103;1989
"149";420;96
"150";1653;1830
"151";656;1026
"152";3731;240
"153";197;428
"154";4555;691
"155";990;901
"156";2000;834
"157";1683;1236
"158";1450;1266
"159";521;1474
"160";2504;1365
"161";4588;945
"162";1188;609
"163";4623;657
"164";4133;1058
"165";635;21
"166";2792;1118
"167";2367;1935
"168";2991;1082
"169";1692;1731
"170";1385;26
"171";4622;1644
"172";876;1739
"173";4645;735
"174";2399;825
"175";4678;1888
"176";1445;1661
"177";1024;1589
"178";4119;1386
"179";1978;397
"180";1311;1369
"181";530;1608
"182";1580;631
"183";3251;1427
"184";4230;17
"185";244;1355
"186";287;1238
"187";3095;798
"188";1517;1465
"189";3860;1120
"190";2324;584
"191";4366;1633
"192";948;1718
"193";1257;416
"194";2177;1141
"195";1660;877
"196";2436;1057
"197";1045;364
"198";1277;1868
"199";3357;1224
"200";2320;739
"201";4155;793
"202";2820;1217
"203";329;659
"204";3104;149
"205";3441;1413
"206";4789;1378
"207";609;764
"208";3735;1159
"209";3560;99
"210";4164;1741
"211";1378;1053
"212";464;686
"213";4543;1325
"214";4567;301
"215";1836;34
"216";785;1192
"217";2776;1207
"218";2148;431
"219";1189;963
"220";3010;1951
"221";4089;1294
"222";180;410
"223";5;1963
"224";4174;676
"225";131;1304
"226";2652;588
"227";1918;398
"228";20;498
"229";3217;693
"230";3751;639
"231";3621;760
"232";4544;381
"233";1672;189
"234";4539;425
"235";66;1492
"236";3398;1465
"237";4476;974
"238";1154;1915
"239";1539;1142
"240";532;1500
"241";3846;1666
"242";4355;425
"243";4733;512
"244";932;1544
"245";3766;1165
"246";1836;1344
"247";3637;1901
"248";2883;617
"249";358;1185
"250";4836;1015
"251";4853;416
"252";1549;1146
"253";2101;227
"254";1387;1529
"255";276;1188
"256";2788;1236
"257";2930;432
"258";1465;956
"259";2662;1400
"260";4670;853
"261";189;1051
"262";771;1554
"263";839;1524
"264";1070;987
"265";4428;1258
"266";3245;381
"267";3529;1459
"268";4197;1739
"269";1424;688
"270";3781;318
"271";2956;710
"272";1737;1958
"273";2522;1131
"274";3877;925
"275";4476;707
"276";3844;918
"277";1067;210
"278";4535;1713
"279";3332;153
"280";2807;690
"281";2597;593
"282";35;826
"283";2876;1865
"284";3553;846
"285";953;1711
"286";2214;856
"287";3162;260
"288";4563;1692
"289";1811;406
"290";4164;191
"291";3472;1240
"292";3002;612
"293";567;1095
"294";2866;93
"295";3278;5
"296";4992;879
"297";574;1480
"298";1376;1035
"299";858;1165
"300";381;1716
"301";3312;715
"302";4888;1217
"303";1702;1023
"304";1948;1436
"305";3564;680
"306";1208;678
"307";2579;434
"308";4801;1572
"309";1813;887
"310";863;1671
"311";285;1945
"312";800;1176
"313";4029;657
"314";3903;295
"315";1948;205
"316";3155;1529
"317";483;430
"318";1562;862
"319";1605;1049
"320";876;244
"321";914;717
"322";186;818
"323";3082;1573
"324";467;1451
"325";1022;1823
"326";1263;1525
"327";3763;287
"328";3406;1435
"329";4359;382
"330";4255;1375
"331";3039;541
"332";826;1973
"333";818;399
"334";994;922
"335";3406;109
"336";1005;1267
"337";3164;69
"338";3507;1292
"339";2653;1428
"340";16;1328
"341";4483;1118
"342";3931;1225
"343";2790;161
"344";1885;712
"345";235;1237
"346";591;673
"347";1007;696
"348";2562;374
"349";4888;1118
"350";2006;1803
"351";3265;671
"352";366;635
"353";2983;900
"354";3418;494
"355";2954;1308
"356";3789;112
"357";1825;324
"358";3978;1021
"359";4525;1354
"360";2542;74
"361";1334;1562
"362";4305;763
"363";1404;1326
"364";2776;13
"365";1812;1912
"366";3896;803
"367";3401;246
"368";2427;1514
"369";1244;492
"370";766;1796
"371";3592;881
"372";2692;1458
"373";4834;1674
"374";4319;856
"375";3083;584
"376";3407;1617
"377";3240;1714
"378";1224;1164
"379";399;413
"380";1621;1066
"381";3463;35
"382";3554;1572
"383";4628;1727
"384";2655;1419
"385";4502;1599
"386";4244;1609
"387";3747;621
"388";3593;1775
"389";3760;1427
"390";778;1492
"391";1061;75
"392";3133;239
"393";3671;949
"394";3926;690
"395";2490;1835
"396";849;1569
"397";3391;531
"398";159;589
"399";3982;1313
"400";770;181
"401";381;1719
"402";2061;1624
"403";4905;205
"404";1107;1294
"405";1326;1351
"406";2655;1389
"407";465;232
"408";3420;1008
"409";955;1655
"410";3987;655
"411";2659;1062
"412";3963;1992
"413";2539;325
"414";2758;500
"415";2225;763
"416";3002;810
"417";802;624
"418";3071;1736
"419";400;735
"420";1454;126
"421";2424;1420
"422";905;879
"423";2178;1621
"424";1707;715
"425";721;1708
"426";3994;1905
"427";1659;1096
"428";2078;1677
"429";3163;1438
"430";3067;69
"431";3947;1825
"432";4032;524
"433";1174;1333
"434";2713;1422
"435";2349;1996
"436";2487;1445
"437";471;1574
"438";4548;211
"439";4527;224
"440";3150;852
"441";3539;1349
"442";296;1761
"443";329;934
"444";3085;1731
"445";4661;1298
"446";2604;1122
"447";810;247
"448";4148;305
"449";4294;1323
"450";1165;1589
"451";1326;264
"452";154;984
"453";712;424
"454";3500;1312
"455";3382;1613
"456";2076;810
"457";3630;1983
"458";1822;469
"459";3358;789
"460";1315;1759
"461";3527;1561
"462";56;1525
"463";4811;1154
"464";4543;1194
"465";1784;463
"466";3196;1954
"467";2739;850
"468";4709;314
"469";2838;1735
"470";4755;494
"471";1422;1739
"472";4611;412
"473";431;197
"474";3542;872
"475";1612;973
"476";2455;1569
"477";329;1560
"478";4907;1112
"479";1111;1662
"480";57;1306
"481";1484;898
"482";3613;1078
"483";1061;490
"484";4233;765
"485";4409;816
"486";4404;1952
"487";431;736
"488";1207;383
"489";4357;667
"490";2603;1586
"491";3915;1479
"492";507;1589
"493";4257;1916
"494";3932;658
"495";4945;1195
"496";4585;361
"497";4450;1907
"498";1916;666
"499";1719;1063
"500";123;1075
